age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no
31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no
49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no
52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no
41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no
26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no
39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
52,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
35,retired,single,primary,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,no
48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no
34,technician,married,secondary,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no
31,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no
38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
54,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no
31,management,single,tertiary,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no
33,management,married,tertiary,no,377,yes,no,unknown,5,may,217,1,-1,0,unknown,no
55,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no
42,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no
48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no
35,services,married,secondary,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no
50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
41,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no
39,services,single,unknown,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no
36,services,married,secondary,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no
28,blue-collar,married,primary,no,324,yes,no,unknown,5,may,175,1,-1,0,unknown,no
36,blue-collar,married,unknown,no,1033,no,no,unknown,5,may,238,2,-1,0,unknown,no
53,services,divorced,secondary,no,1467,yes,no,unknown,5,may,124,1,-1,0,unknown,no
37,blue-collar,married,primary,no,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,611,2,-1,0,unknown,no
41,entrepreneur,married,primary,no,236,yes,no,unknown,5,may,151,1,-1,0,unknown,no
37,management,single,tertiary,no,600,yes,no,unknown,5,may,152,1,-1,0,unknown,no
54,technician,married,tertiary,no,258,no,no,unknown,5,may,310,4,-1,0,unknown,no
47,admin.,married,secondary,no,368,yes,no,unknown,5,may,125,2,-1,0,unknown,no
40,self-employed,married,secondary,no,672,yes,no,unknown,5,may,164,2,-1,0,unknown,no
54,management,married,tertiary,no,313,yes,no,unknown,5,may,83,2,-1,0,unknown,no
43,management,married,unknown,no,0,yes,no,unknown,5,may,105,2,-1,0,unknown,no
56,admin.,married,secondary,no,353,yes,no,unknown,5,may,106,2,-1,0,unknown,no
46,admin.,married,secondary,no,-358,yes,no,unknown,5,may,358,2,-1,0,unknown,no
51,technician,single,secondary,no,0,yes,no,unknown,5,may,364,2,-1,0,unknown,no
55,management,single,tertiary,no,115,no,no,unknown,5,may,111,4,-1,0,unknown,no
42,blue-collar,married,unknown,no,57,yes,no,unknown,5,may,425,2,-1,0,unknown,no
49,blue-collar,married,secondary,no,30,yes,no,unknown,5,may,135,4,-1,0,unknown,no
42,admin.,single,secondary,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no
53,technician,married,secondary,no,56,yes,yes,unknown,5,may,152,2,-1,0,unknown,no
41,blue-collar,single,secondary,no,842,yes,no,unknown,5,may,144,3,-1,0,unknown,no
39,blue-collar,married,primary,no,-100,yes,no,unknown,5,may,680,2,-1,0,unknown,no
45,blue-collar,married,secondary,no,66,yes,no,unknown,5,may,808,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,195,2,-1,0,unknown,no
46,technician,married,tertiary,no,841,yes,no,unknown,6,may,158,1,-1,0,unknown,no
38,admin.,married,secondary,no,46,yes,yes,unknown,6,may,195,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,1293,no,no,unknown,6,may,652,1,-1,0,unknown,no
33,management,married,tertiary,no,0,yes,no,unknown,6,may,290,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,757,yes,no,unknown,6,may,133,1,-1,0,unknown,no
58,services,married,secondary,no,1667,yes,yes,unknown,6,may,85,1,-1,0,unknown,no
57,technician,married,unknown,no,345,yes,no,unknown,6,may,125,1,-1,0,unknown,no
37,technician,married,tertiary,no,8730,yes,no,unknown,6,may,149,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,1205,yes,no,unknown,6,may,769,2,-1,0,unknown,no
38,admin.,married,secondary,no,1,no,no,unknown,6,may,76,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,283,no,yes,unknown,6,may,199,1,-1,0,unknown,no
58,retired,married,tertiary,no,0,no,no,unknown,6,may,393,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,1660,yes,no,unknown,6,may,259,1,-1,0,unknown,no
43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,245,1,-1,0,unknown,no
33,technician,married,secondary,yes,72,yes,no,unknown,6,may,623,1,-1,0,unknown,no
39,services,married,secondary,no,1142,yes,no,unknown,6,may,276,1,-1,0,unknown,no
55,admin.,married,secondary,no,131,yes,no,unknown,6,may,744,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,262,1,-1,0,unknown,no
40,blue-collar,married,primary,no,46,yes,no,unknown,6,may,119,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,320,yes,no,unknown,6,may,198,2,-1,0,unknown,no
45,blue-collar,married,secondary,no,39,no,no,unknown,6,may,241,1,-1,0,unknown,no
24,self-employed,single,secondary,no,0,yes,no,unknown,6,may,278,1,-1,0,unknown,no
50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,101,1,-1,0,unknown,no
46,management,divorced,unknown,no,2,yes,no,unknown,6,may,187,1,-1,0,unknown,no
